Fid,Line,Flight,DateTime,Date,Time,Height,DTM,Lon,Lat,Alt,GdSpeed,Easting,Northing,MagRaw,Mag_interpolated,Drift_nl4,Drift_nl4_interpolated,Mag_driftremov,Mag_driftremov_1Ddrap,Mag_driftremovdrap_IGRFremov,Dec,Inc,IGRF
167544.7,500201,20141029.04,41941.9391747685,2014/10/29,22:32:25,45.0,602.9,-105.26227681,48.13644503,647.8,71.8,480486.982,5331498.965,,56001.743825,,2.41844444444594,55999.3253805556,55999.1131747215,-303.468804057178,9.3050708770752,72.7911506736767,56302.5819787787
167544.8,500201,20141029.04,41941.9391759259,2014/10/29,22:32:25,45.2,602.7,-105.26226896,48.13642747,647.9,71.4,480487.559,5331497.011,56001.7586,56001.7586,,2.40822222222422,55999.3503777778,55999.0797778433,-303.501890473621,9.3050651550293,72.7911390923151,56302.5816683169
167544.9,500201,20141029.04,41941.9391770833,2014/10/29,22:32:25,45.4,602.4,-105.26226111,48.13640991,647.9,71.1,480488.137,5331495.057,56001.6162,56001.6162,,2.3980000000025,55999.2182,55999.0463321524,-303.537896822636,9.3050594329834,72.791127566449,56302.584228975
167545.0,500201,20141029.04,41941.9391782407,2014/10/29,22:32:25,45.7,602.2,-105.26225325,48.13639235,647.9,70.7,480488.715,5331493.104,56001.6676,56001.6676,2.38777777778079,2.38777777778079,55999.2798222222,55999.0185664146,-303.565352866375,9.3050537109375,72.7911159865471,56302.583919281
167545.1,500201,20141029.04,41941.9391793981,2014/10/29,22:32:25,45.9,602.0,-105.26224646,48.1363757,648.0,70.2,480489.214,5331491.251,56001.6986,56001.6986,,2.39308333333634,55999.3055166667,55998.9891196599,-303.594751802753,9.3050479888916,72.7911049153613,56302.5838714626
167545.2,500201,20141029.04,41941.9391805555,2014/10/29,22:32:25,46.2,601.8,-105.26223966,48.13635904,648.0,69.7,480489.713,5331489.398,56001.5115,56001.5115,,2.39838888889189,55999.1131111111,55998.9651616469,-303.61865897636,9.30504322052002,72.7910938383249,56302.5838206233
167545.3,500201,20141029.04,41941.939181713,2014/10/29,22:32:25,46.5,601.6,-105.26223287,48.13634239,648.1,69.2,480490.212,5331487.545,,56001.5565,,2.40369444444744,55999.1528055556,55998.9423707979,-303.641401995053,9.30503749847412,72.7910827671337,56302.583772793
167545.4,500201,20141029.04,41941.9391828704,2014/10/29,22:32:25,46.8,601.4,-105.26222608,48.13632573,648.2,68.7,480490.711,5331485.692,,56001.6015,,2.40900000000299,55999.1925,55998.9238944624,-303.659826698306,9.30503273010254,72.7910716886262,56302.5837211607
167545.5,500201,20141029.04,41941.9391840278,2014/10/29,22:32:25,47.0,601.2,-105.26221928,48.13630908,648.2,68.2,480491.21,5331483.839,,56001.6465,,2.41430555555854,55999.2321944444,55998.9128047339,-303.670869365465,9.30502796173096,72.7910606188955,56302.5836740993
167545.6,500201,20141029.04,41941.9391851852,2014/10/29,22:32:26,47.3,601.0,-105.26221249,48.13629243,648.3,67.8,480491.71,5331481.987,,56001.6915,,2.4196111111141,55999.2718888889,55998.8985859544,-303.68504029663,9.30502223968506,72.7910495476963,56302.583626251
167545.7,500201,20141029.04,41941.9391863426,2014/10/29,22:32:26,47.6,600.8,-105.2622057,48.13627577,648.4,67.3,480492.209,5331480.134,56001.7365,56001.7365,,2.42491666666965,55999.3115833333,55998.8841899419,-303.699384658888,9.30501747131348,72.7910384691807,56302.5835746008
167545.8,500201,20141029.04,41941.9391875,2014/10/29,22:32:26,48.0,600.5,-105.2621989,48.13625912,648.5,66.8,480492.708,5331478.281,56001.7611,56001.7611,,2.4302222222252,55999.3308777778,55998.8646558926,-303.721742756599,9.30501270294189,72.7910274549396,56302.5863986492
167545.9,500201,20141029.04,41941.9391886574,2014/10/29,22:32:26,48.3,600.3,-105.26219211,48.13624246,648.5,66.3,480493.207,5331476.428,56001.4692,56001.4692,,2.43552777778075,55999.0336722222,55998.8530246078,-303.73332237939,9.305006980896,72.7910163764186,56302.5863469871
167546.0,500201,20141029.04,41941.9391898148,2014/10/29,22:32:26,48.7,599.9,-105.26218532,48.13622581,648.6,65.8,480493.706,5331474.575,56001.7479,56001.7479,2.4408333333363,2.4408333333363,55999.3070666667,55998.8343885847,-303.757652787521,9.30500221252441,72.7910054162036,56302.5920413722
167546.1,500201,20141029.04,41941.9391909722,2014/10/29,22:32:26,49.1,599.7,-105.26218095,48.13620993,648.8,65.3,480494.025,5331472.81,56001.3754,56001.3754,,2.44669444444725,55998.9287055555,55998.8214196508,-303.770677171742,9.30499935150146,72.7909945534443,56302.5920968225
167546.2,500201,20141029.04,41941.9391921296,2014/10/29,22:32:26,49.3,599.6,-105.26217658,48.13619406,648.9,64.8,480494.344,5331471.044,,56001.4474,,2.45255555555819,55998.9948444444,55998.8217799402,-303.767504993994,9.3049955368042,72.790983642499,56302.5892849342
167546.3,500201,20141029.04,41941.939193287,2014/10/29,22:32:26,49.5,599.6,-105.26217221,48.13617819,649.1,64.3,480494.663,5331469.279,,56001.5194,,2.45841666666914,55999.0609833333,55998.8270990043,-303.756502907294,9.30499172210693,72.7909726760542,56302.5836019116
167546.4,500201,20141029.04,41941.9391944444,2014/10/29,22:32:26,49.9,599.4,-105.26216784,48.13616231,649.3,63.8,480494.982,5331467.513,,56001.5914,,2.46427777778008,55999.1271222222,55998.829513712,-303.75414363265,9.30498790740967,72.7909618132877,56302.5836573446
167546.5,500201,20141029.04,41941.9391956019,2014/10/29,22:32:26,50.4,599.1,-105.26216348,48.13614644,649.4,63.4,480495.301,5331465.748,,56001.6634,,2.47013888889102,55999.1932611111,55998.8347343885,-303.751852527494,9.30498504638672,72.7909510118637,56302.586586916
167546.6,500201,20141029.04,41941.9391967593,2014/10/29,22:32:27,50.8,598.8,-105.26215911,48.13613057,649.6,62.9,480495.62,5331463.983,56001.7354,56001.7354,,2.47600000000197,55999.2594,55998.8369932491,-303.752524014053,9.30498123168945,72.7909402119028,56302.5895172632
167546.7,500201,20141029.04,41941.9391979167,2014/10/29,22:32:27,51.2,598.5,-105.26215474,48.13611469,649.8,62.4,480495.939,5331462.217,56001.8396,56001.8396,,2.48186111111291,55999.3577388889,55998.8405854781,-303.75185833095,9.3049783706665,72.7909294046253,56302.5924438091
167546.8,500201,20141029.04,41941.9391990741,2014/10/29,22:32:27,51.6,598.3,-105.26215037,48.13609882,649.9,61.9,480496.258,5331460.452,56001.7662,56001.7662,,2.48772222222386,55999.2784777778,55998.8512025113,-303.741300504538,9.30497455596924,72.7909185491623,56302.5925030159
167546.9,500201,20141029.04,41941.9392002315,2014/10/29,22:32:27,52.0,598.1,-105.262146,48.13608295,650.1,61.4,480496.577,5331458.686,56001.7699,56001.7699,,2.4935833333348,55999.2763166667,55998.8601038615,-303.732458355553,9.30497074127197,72.7909076936968,56302.5925622171
167547.0,500201,20141029.04,41941.9392013889,2014/10/29,22:32:27,52.4,597.9,-105.26214163,48.13606707,650.3,60.9,480496.896,5331456.921,,56001.75892,2.49944444444575,2.49944444444575,55999.2594755556,55998.8709762769,-303.721641339689,9.30496788024902,72.790896830915,56302.5926176166
167547.1,500201,20141029.04,41941.9392025463,2014/10/29,22:32:27,52.6,597.9,-105.26214042,48.13605205,650.5,60.6,480496.981,5331455.251,,56001.74794,,2.49088888889021,55999.2570511111,55998.8876866005,-303.699323861314,9.30496597290039,72.7908860229518,56302.5870104618
167547.2,500201,20141029.04,41941.9392037037,2014/10/29,22:32:27,52.8,597.9,-105.2621392,48.13603703,650.6,60.2,480497.065,5331453.581,,56001.73696,,2.48233333333467,55999.2546266667,55998.9091270665,-303.672277016201,9.30496406555176,72.7908752164524,56302.5814040827
167547.3,500201,20141029.04,41941.9392048611,2014/10/29,22:32:27,53.0,597.9,-105.26213799,48.136022,650.8,59.8,480497.15,5331451.911,,56001.72598,,2.47377777777912,55999.2522022222,55998.9284141209,-303.647379000744,9.30496215820313,72.7908644011715,56302.5757931217
167547.4,500201,20141029.04,41941.9392060185,2014/10/29,22:32:27,53.2,597.8,-105.26213677,48.13600698,651.0,59.5,480497.235,5331450.241,56001.715,56001.715,,2.46522222222358,55999.2497777778,55998.9454246174,-303.627633244032,9.30496025085449,72.7908536501641,56302.5730578615
